image;threshold;compression_ratio;psnr;entropy_original;entropy_compressed;blockiness_original;blockiness_compressed
Baboon.bmp;0;0.269;29.905;7.358;7.245;249.528;253.422
Baboon.bmp;25;0.8;29.42;7.358;7.206;249.528;122.396
Baboon.bmp;50;1.409;29.187;7.358;7.153;249.528;69.83
Baboon.bmp;100;2.32;29.013;7.358;7.088;249.528;38.306
Balloons.bmp;0;0.281;36.547;7.346;7.343;207.841;209.128
Balloons.bmp;25;2.247;35.466;7.346;7.305;207.841;40.064
Balloons.bmp;50;2.562;34.896;7.346;7.3;207.841;32.727
Balloons.bmp;100;2.725;34.348;7.346;7.297;207.841;29.942
Barb.bmp;0;0.275;31.361;7.484;7.447;237.281;241.931
Barb.bmp;25;1.134;30.837;7.484;7.428;237.281;86.909
Barb.bmp;50;1.755;30.509;7.484;7.408;237.281;54.131
Barb.bmp;100;2.449;30.225;7.484;7.375;237.281;36.325
Barbara.bmp;0;0.273;30.785;7.344;7.806;233.747;247.011
Barbara.bmp;25;0.927;30.353;7.344;7.771;233.747;105.151
Barbara.bmp;50;1.401;30.113;7.344;7.764;233.747;71.58
Barbara.bmp;100;2.151;29.858;7.344;7.745;233.747;45.019
Bark.bmp;0;0.269;28.955;7.325;7.23;243.702;256.46
Bark.bmp;25;0.721;28.736;7.325;7.184;243.702;140.447
Bark.bmp;50;1.214;28.578;7.325;7.112;243.702;79.372
Bark.bmp;100;1.932;28.431;7.325;7.015;243.702;44.378
Bicycle.bmp;0;0.283;30.171;4.369;7.548;156.295;238.593
Bicycle.bmp;25;0.886;29.655;4.369;7.529;156.295;105.178
Bicycle.bmp;50;1.302;29.504;4.369;7.507;156.295;71.53
Bicycle.bmp;100;1.952;29.383;4.369;7.475;156.295;47.27
Board.bmp;0;0.281;34.336;6.828;6.85;223.049;217.801
Board.bmp;25;1.862;33.693;6.828;6.747;223.049;44.213
Board.bmp;50;2.236;33.354;6.828;6.748;223.049;34.639
Board.bmp;100;2.554;32.693;6.828;6.757;223.049;28.468
boat 512x512.bmp;0;0.273;31.901;7.191;7.16;244.27;247.084
boat 512x512.bmp;25;1.382;31.077;7.191;7.108;244.27;69.627
boat 512x512.bmp;50;1.945;30.773;7.191;7.079;244.27;46.465
boat 512x512.bmp;100;2.457;30.465;7.191;7.036;244.27;34.568
Boats.bmp;0;0.278;33.002;7.088;7.069;225.24;223.464
Boats.bmp;25;1.583;32.347;7.088;7.037;225.24;57.024
Boats.bmp;50;2.082;32.03;7.088;7.022;225.24;39.806
Boats.bmp;100;2.499;31.626;7.088;7.005;225.24;31.306
Bridge.bmp;0;0.274;30.145;5.706;7.647;210.933;248.421
Bridge.bmp;25;0.934;29.65;5.706;7.618;210.933;108.385
Bridge.bmp;50;1.632;29.357;5.706;7.582;210.933;58.33
Bridge.bmp;100;2.382;29.149;5.706;7.546;210.933;37.283
